Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", печеная",266 кКал,0 г,"32,99 г","13,83 г"
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая",168 кКал,0 г,"21,94 г","8,19 г"
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", тушеная",250 кКал,0 г,"34,09 г","11,61 г"
"Говядина отборная, мякоть верхней части бедра, постное мясо, жареная",166 кКал,0 г,"30,24 г","4,11 г"
"Говядина отборная, мякоть верхней части бедра, постное мясо, печеная",228 кКал,"2,03 г","33,93 г","8,33 г"
"Говядина отборная, мякоть верхней части бедра, постное мясо, тушеная",207 кКал,0 г,"36,12 г","5,8 г"
"Говядина отборная, мякоть верхней части плеча, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",184 кКал,0 г,"26,07 г","8,11 г"
"Говядина отборная, мякоть верхней части плеча, стейк,  мясо с жиром убранным до уровня 0"", сырая",143 кКал,0 г,"20,39 г","6,12 г"
"Говядина отборная, мякоть нижней внешней части бедра, стейк, мясо с жиром убранным до уровня0"", обжаренная на гриле",191 кКал,0 г,"27,22 г","8,3 г"
"Говядина отборная, мякоть нижней внешней части, стек, бедра, мясо с жиром убранным до уровня0"", сырая",150 кКал,0 г,"21,24 г","6,59 г"
"Говядина отборная, мякоть нижней части бедра, мясо с жиром убранным до уровня 0"", обжаренная",199 кКал,0 г,"26,76 г","9,37 г"
"Говядина отборная, мякоть нижней части бедра, мясо с жиром убранным до уровня 0"", тушеная",230 кКал,0 г,"32,73 г",10 г
"Говядина отборная, мякоть нижней части бедра, постное мясо, обжаренная",185 кКал,0 г,"27,23 г","7,63 г"
"Говядина отборная, мякоть нижней части бедра, постное мясо, тушеная",223 кКал,0 г,"33,08 г","9,03 г"
"Говядина отборная, мякоть нижней части бедра, постоное мясо, обжаренная",179 кКал,0 г,"27,56 г","6,77 г"
"Говядина отборная, мякоть нижней части бедра, постоное мясо, сырая",140 кКал,0 г,"22,22 г","4,96 г"
"Говядина отборная, мякоть нижней части бедра, постоное мясо, тушеная",228 кКал,0 г,"34,22 г","9,02 г"
"Говядина отборная, мякоть шейной части, мясо с жиром убранным до уровня 0"", обжаренная",216 кКал,0 г,"24,61 г","12,26 г"
