Продукт,Калорийность,Углеводы,Белки,Жиры
Сыр Гауда 45% [Пятерочка],338 кКал,0 г,26 г,26 г
Сыр Голландский Красная Цена [Пятерочка],332 кКал,0 г,"26,3 г","25,2 г"
Сыр по-Российски Классический [Пятерочка],322 кКал,0 г,23 г,28 г
Сыр Пошехонский [Пятерочка],320 кКал,0 г,"24,6 г","25,2 г"
Сыр Российский 45% [Пятерочка],330 кКал,0 г,"24,5 г","25,5 г"
Сыр Российский Красная Цена [Пятерочка],342 кКал,0 г,"22,5 г",28 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,0 г,"22,5 г",28 г
Сыр Сливочный Город Сыра [Пятерочка],343 кКал,"7,5 г",9 г,"30,8 г"
"Сыр Творожный ""Свежий"" [Пятерочка]",122 кКал,"3,8 г",11 г,7 г
Сыр Тильзитер [Пятерочка],337 кКал,0 г,25 г,24 г
Сыр Тильзитер Liebendorf [Пятерочка],320 кКал,0 г,23 г,25 г
Сыр Топленое Молоко [Пятерочка],353 кКал,0 г,"24,2 г","24,3 г"
Сырники [Пятерочка],209 кКал,"21,4 г","18,5 г","5,7 г"
Сырники из Творога Жареные Охлажденные [Пятерочка],214 кКал,"22,5 г",13 г,8 г
Сырный Продукт [Пятерочка],360 кКал,0 г,23 г,28 г
Сырный Продукт Российский Классический [Пятерочка],323 кКал,0 г,"22,8 г","25,8 г"
Сырок Творожный [Пятерочка],363 кКал,29 г,10 г,23 г
Тарталетки для Икры [Пятерочка],480 кКал,49 г,"7,5 г",25 г
Твист с Творожно-Лимонной Начинкой [Пятерочка],370 кКал,29 г,"6,5 г",25 г
"Творог 0,5% [Пятерочка]",90 кКал,"3,3 г",18 г,"0,5 г"
"Творог 1,7% [Пятерочка]",85 кКал,"3,3 г",18 г,"1,7 г"
"Творог 1,8% [Пятерочка]",93 кКал,"1,3 г",18 г,"1,8 г"
Творог 5% [Пятерочка],121 кКал,3 г,16 г,5 г
Творог 9% [Пятерочка],160 кКал,3 г,16 г,9 г
Творог Обезжиренный [Пятерочка],75 кКал,"3,3 г",14 г,"0,7 г"
Творожная Запеканка с Изюмом [Пятерочка],243 кКал,31 г,14 г,"6,9 г"
Томатная Паста [Пятерочка],82 кКал,"14,9 г","4,7 г","0,4 г"
Торнадо Энергетик [Пятерочка],55 кКал,"13,5 г",0 г,0 г
Треска [Пятерочка],73 кКал,0 г,16 г,1 г
Турновер с Ветчиной и Сыром [Пятерочка],370 кКал,27 г,8 г,26 г
Турновер с Картофелем и Грибами [Пятерочка],327 кКал,32 г,5 г,20 г
Тыква Баттернат [Пятерочка],45 кКал,"9,7 г",1 г,"0,1 г"
Уголок с Творожной Начинкой [Пятерочка],319 кКал,"42,3 г","8,5 г","12,8 г"
Уголок с Яблочной Начинкой [Пятерочка],311 кКал,"49,1 г","4,8 г","10,5 г"
Улитка Греческая с Курицей и Картофелем [Пятерочка],226 кКал,"32,6 г","8,7 г","6,7 г"
Улитка Греческая с Мясом [Пятерочка],345 кКал,"35,8 г",8 г,"18,5 г"
Улитка Греческая с Творогом [Пятерочка],338 кКал,"38,4 г","8,1 г","16,5 г"
Улитка Греческая со Шпинатом и Сыром [Пятерочка],248 кКал,"33,6 г","7,6 г","9,2 г"
Улитка Косичка Картофель Бекон Шпинат [Пятерочка],248 кКал,"33,6 г","7,6 г","9,2 г"
Улитка Косичка Курица/Рис/Овощи [Пятерочка],231 кКал,35 г,8 г,"6,5 г"
Улитка Косичка Сыр Картофель Бекон [Пятерочка],230 кКал,"31,5 г",9 г,"7,5 г"
Улитка с Изюмом и Заварным Кремом [Пятерочка],315 кКал,44 г,"5,8 г",12 г
Улитка с Кремом и Корицей [Пятерочка],280 кКал,40 г,"5,5 г",12 г
Улитка с Повидлом [Пятерочка],240 кКал,35 г,9 г,7 г
Улитка с Сыром и Шпинатом [Пятерочка],248 кКал,"33,6 г","7,6 г","9,2 г"
Фаготтини с Клубникой [Пятерочка],376 кКал,"58,6 г",6 г,"13,2 г"
Фаготтини с Сыром и Ветчиной [Пятерочка],382 кКал,"40,4 г","10,8 г","19,4 г"
Фарш Говяжий (Рестория) [Пятерочка],255 кКал,0 г,12 г,23 г
Фатир с Луком [Пятерочка],398 кКал,65 г,"10,5 г",6 г
Филе Грудки [Пятерочка],96 кКал,0 г,15 г,4 г
Финики [Пятерочка],264 кКал,"71,9 г","2,3 г","0,5 г"
Хачапури с Курицей и Грибами [Пятерочка],470 кКал,40 г,15 г,28 г
Хачапури с Сыром [Пятерочка],335 кКал,"28,5 г","10,1 г","19,6 г"
Хачапури с Сыром и Ветчиной [Пятерочка],572 кКал,40 г,18 г,37 г
Хлеб Sibirien Korn Brot [Пятерочка],228 кКал,"48,9 г","6,2 г","2,3 г"
Хлеб Бабушкин [Пятерочка],234 кКал,"49,3 г","7,3 г","0,8 г"
Хлеб Бородинский Семечко [Пятерочка],305 кКал,"49,7 г","5,5 г","10,7 г"
Хлеб Венский [Пятерочка],214 кКал,"38,5 г",12 г,1 г
Хлеб Гречишный [Пятерочка],244 кКал,46 г,7 г,3 г
