Продукт,Калорийность,Углеводы,Белки,Жиры
Бурек с Брокколи [Ашан],230 кКал,31 г,8 г,11 г
Бурек с Яблочной Начинкой [Ашан],290 кКал,45 г,6 г,9 г
Буреки Курица с Паприкой [Ашан],249 кКал,"51,1 г","7,8 г","1,3 г"
Бурый Рис [Ашан],340 кКал,73 г,"7,5 г",2 г
Бутерброд с Курицей [Ашан],130 кКал,9 г,"8,5 г","7,5 г"
Ванильный Соевый Био Напиток [Ашан],61 кКал,"6,8 г","3,7 г",2 г
Вареники с Картофелем и Грибами [Ашан],170 кКал,28 г,"5,5 г","3,5 г"
Вареники с Картошкой [Ашан],174 кКал,"26,9 г","1,7 г","3,3 г"
Вареники с Творогом [Ашан],220 кКал,31 г,12 г,5 г
Варенье из Апельсинов [Ашан],238 кКал,"57,7 г","0,4 г","0,1 г"
Варенье Клубничное [Ашан],234 кКал,"56,5 г","0,7 г","0,2 г"
Ватрушка с Картофелем [Ашан],234 кКал,"34,2 г","8,2 г","7,3 г"
Ватрушка с Творогом [Ашан],266 кКал,39 г,"9,4 г","8,1 г"
Ватрушка с Яблоками [Ашан],200 кКал,"17,5 г","6,7 г","8,5 г"
Вафельные Криспы [Ашан],338 кКал,"71,3 г","8,1 г",15 г
Вафельные Листы [Ашан],288 кКал,"66,4 г","10,4 г","1,4 г"
Вафли Вафи-Дафи [Ашан],520 кКал,36 г,"5,2 г",41 г
Вафли Голанские [Ашан],465 кКал,68 г,5 г,19 г
Вафли Медовые Био [Ашан],463 кКал,"64,5 г","4,5 г","20,5 г"
Вегетарианские Равиоли [Ашан],89 кКал,"11,6 г","2,9 г","2,9 г"
Вертут Шоколадно-Сливочный [Ашан],320 кКал,45 г,5 г,14 г
Весенняя Смесь [Ашан],45 кКал,8 г,"3,2 г",0 г
Ветчина для Завтрака [Ашан],183 кКал,0 г,12 г,15 г
Ветчина из Курицы [Ашан],122 кКал,5 г,12 г,6 г
Ветчина Куриная [Ашан],143 кКал,0 г,17 г,10 г
Ветчина с Сырной Начинкой [Ашан],260 кКал,"2,6 г","19,4 г","19,1 г"
Винегрет [Ашан],46 кКал,"9,9 г","1,4 г","0,1 г"
Винегрет Овощной [Ашан],87 кКал,"8,4 г","1,8 г","5,1 г"
Вишня Сушеная [Ашан],165 кКал,42 г,"0,2 г","0,2 г"
Вобла Вяленая [Ашан],204 кКал,0 г,33 г,8 г
Вода Клубника [Ашан],15 кКал,"4,5 г",0 г,0 г
Воздушный Рис [Ашан],381 кКал,85 г,"7,1 г","1,1 г"
Волнушки Соленые [Ашан],22 кКал,"1,7 г","2,5 г","0,5 г"
Вырезка Говяжья [Ашан],181 кКал,0 г,"22,7 г",10 г
Вырезка Говяжья Фермерская [Ашан],140 кКал,0 г,18 г,8 г
Вырезка Свиная [Ашан],138 кКал,0 г,18 г,7 г
Вырезка Свиная Фермерская [Ашан],150 кКал,0 г,16 г,10 г
Вырезка Столичная [Ашан],75 кКал,0 г,12 г,3 г
Вырезка Телячья [Ашан],98 кКал,0 г,20 г,2 г
