Продукт,Калорийность,Углеводы,Белки,Жиры
"Горох и морковь, замороженные, вареные, без соли",48 кКал,"7,02 г","3,09 г","0,42 г"
"Горох и морковь, замороженные, вареные, с солью",48 кКал,"7,02 г","3,09 г","0,42 г"
"Горох и морковь, замороженные, неприготовленные",53 кКал,"7,75 г","3,4 г","0,47 г"
"Горох и морковь, консервированные, без добавления соли",38 кКал,"5,18 г","2,17 г","0,27 г"
"Горох и морковь, консервированные, стандартная упаковка",38 кКал,"6,48 г","2,17 г","0,27 г"
"Горчица листовая, вареная, без соли",26 кКал,"2,51 г","2,56 г","0,47 г"
"Горчица листовая, вареная, с солью",26 кКал,"2,51 г","2,56 г","0,47 г"
"Горчица листовая, замороженная, вареная, без соли",19 кКал,"0,31 г","2,27 г","0,25 г"
"Горчица листовая, замороженная, вареная, с солью",19 кКал,"0,31 г","2,27 г","0,25 г"
"Горчица листовая, замороженная, неприготовленная",20 кКал,"0,11 г","2,49 г","0,27 г"
"Горчица листовая, сырая",27 кКал,"1,47 г","2,86 г","0,42 г"
"Горчица шпинатная, вареная, без соли",16 кКал,"0,8 г","1,7 г","0,2 г"
"Горчица шпинатная, вареная, с солью",16 кКал,"0,8 г","1,7 г","0,2 г"
"Горчица шпинатная, сырая",22 кКал,"1,1 г","2,2 г","0,3 г"
Гратен из картофеля,134 кКал,"9,46 г","5,06 г","7,59 г"
"Гратен из картофеля, домашнего приготовления по рецепту с добавлением маргарина",132 кКал,"9,47 г","5,06 г","7,59 г"
"Гратен из картофеля, сухая смесь, неприготовленный",314 кКал,"70,21 г","8,9 г","3,7 г"
"Гратен из картофеля, сухая смесь, приготовленный с добавлением воды, молока и масла",93 кКал,"11,94 г","2,3 г","4,12 г"
"Грифола курчавая, гриб-баран, мейтаке",31 кКал,"4,27 г","1,94 г","0,19 г"
"Джут длинноплодный, вареный, без соли",37 кКал,"5,29 г","3,68 г","0,2 г"
"Джут длинноплодный, вареный, с солью",37 кКал,"5,29 г","3,68 г","0,2 г"
"Джут длинноплодный, сырой",34 кКал,"5,8 г","4,65 г","0,25 г"
Драники картофельные по 1-242,127 кКал,"18,6 г","2,7 г","4,5 г"
"Желуди, тушеные, апачи",95 кКал,"8,52 г","6,81 г","3,47 г"
"Закуска чау-чау, маринованные огурцы и овощи с горчицей, сладкая",121 кКал,"25,14 г","1,5 г","0,9 г"
Запеканка из тыквы по 1-254,137 кКал,"16,3 г","4,1 г","6,1 г"
Запеканка капустная по 1-248,114 кКал,"13,5 г","3,1 г","5,2 г"
Запеканка картофельная с овощами по 1-248,136 кКал,"17,5 г",3 г,"5,9 г"
"Зелень кориандра (кинза), сырая",23 кКал,"0,87 г","2,13 г","0,52 г"
Икра баклажановая. Консервы,148 кКал,"5,1 г","1,7 г","13,3 г"
Икра кабачковая по 1-92,78 кКал,"7,7 г","1,2 г","4,7 г"
Икра кабачковая. Консервы,119 кКал,"7,7 г","1,9 г","8,9 г"
Икра свекольная по 1-96,119 кКал,"11,7 г","2,3 г","6,8 г"
"Имбиря корень маринованный, консервированный, с искуственным подсластителем",20 кКал,"2,23 г","0,33 г","0,1 г"
Имбиря корень сырой,80 кКал,"15,77 г","1,82 г","0,75 г"
