Продукт,Калорийность,Углеводы,Белки,Жиры
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, сырая",142 кКал,0 г,"19,98 г","6,88 г"
"Баранина, шейная часть",208 кКал,0 г,"15,4 г","16,3 г"
Белка,120 кКал,0 г,"21,23 г","3,21 г"
"Белка, запеченная",173 кКал,0 г,"30,77 г","4,69 г"
"Бизон, мякоть плечевой части, только мясо",119 кКал,0 г,"21,12 г","3,15 г"
"Бизон, мякоть плечевой части, только мясо",109 кКал,0 г,"21,1 г","2,1 г"
"Бизон, мякоть плечевой части, только мясо, тушеная",193 кКал,0 г,"33,78 г","5,43 г"
"Бизон, стейк из верхней части бедра, только мясо",122 кКал,0 г,"23,32 г","2,43 г"
"Бизон, стейк из верхней части бедра, только мясо, жаренный на открытом огне",174 кКал,0 г,"30,18 г","4,96 г"
"Бизон, стейк из верхней части оковалка, только мясо, жаренный на открытом огне",171 кКал,0 г,"28,05 г","5,65 г"
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо",116 кКал,0 г,"22,1 г","2,4 г"
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо, жареный на открытом огне",177 кКал,0 г,"29,45 г","5,67 г"
"Бизон, только мясо",109 кКал,0 г,"21,62 г","1,84 г"
"Бизон, только мясо, запеченное",143 кКал,0 г,"28,44 г","2,42 г"
Бобер,146 кКал,0 г,"24,05 г","4,8 г"
"Бобер, запеченный",212 кКал,0 г,"34,85 г","6,96 г"
"Буйвол, стейк из верхней части бедра (Шошони-Баннок)",97 кКал,0 г,"21,44 г","1,3 г"
"Буйвол, стейк из верхней части бедра приготовленный (Шошони-Баннок)",146 кКал,0 г,"32,51 г","1,8 г"
"Буйволятина, 1 категории",195 кКал,0 г,19 г,"13,2 г"
"Буйволятина, 2 категории",135 кКал,0 г,"20,8 г","5,8 г"
"Буффало, гибрид бизона и коровы, мясной набор",143 кКал,0 г,"23,3 г","4,8 г"
"Буффало, гибрид бизона и коровы, мясной набор, запеченный",188 кКал,0 г,"30,66 г","6,32 г"
Верблюжатина 1 категории,160 кКал,0 г,"18,9 г","9,4 г"
Водяной буйвол,99 кКал,0 г,"20,39 г","1,37 г"
"Водяной буйвол, запеченный",131 кКал,0 г,"26,83 г","1,8 г"
Глаза оленя карибу (Аляска),326 кКал,0 г,"10,8 г","31,4 г"
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",217 кКал,0 г,"26,73 г","11,4 г"
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",185 кКал,0 г,"18,99 г","11,5 г"
"Гуляш бараний, консервы",213 кКал,"3,9 г","14,2 г","15,6 г"
"Енот, запеченный",255 кКал,0 г,"29,2 г","14,5 г"
"Жир бараний приготовленный, Австралия",639 кКал,0 г,"9,42 г","66,4 г"
"Жир бараний сырой, Австралия",648 кКал,0 г,"6,27 г","68,87 г"
"Завтрак туриста (баранина), консервы",210 кКал,"0,2 г",18 г,"15,2 г"
Кабан,122 кКал,0 г,"21,51 г","3,33 г"
