Продукт,Калорийность,Углеводы,Белки,Жиры
"Масло, кулинарный спрей PAM, оригинальное",792 кКал,"20,69 г","0,26 г","78,69 г"
Миндальное масло,884 кКал,0 г,0 г,100 г
Миндальное масло рафинированное,884 кКал,0 г,0 г,"99,9 г"
"Мясной сок (смалец, говяжий и бараний жир)",889 кКал,0 г,0 г,"98,59 г"
Овсяное масло,884 кКал,0 г,0 г,100 г
Оливковое масло,898 кКал,0 г,0 г,"99,8 г"
Оливковое масло для заправки салатов или готовки,884 кКал,0 г,0 г,100 г
"Пальмовое и пальмоядровое масло негидрогенизированное, для пищевой промышленности, жир-наполнитель",880 кКал,0 г,0 г,"99,5 г"
Пальмовое масло,899 кКал,0 г,0 г,"99,7 г"
Пальмовое масло (из плодов масличной пальмы),884 кКал,0 г,0 г,100 г
Пальмоядровое масло (из семян масличной пальмы),862 кКал,0 г,0 г,100 г
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, для изготовления взбитых кремов",884 кКал,0 г,0 г,100 г
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, жир-наполнитель",884 кКал,0 г,0 г,100 г
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, используется аналогично высококачественному какао-маслу",884 кКал,0 г,0 г,100 г
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, используется аналогично сливочному маслу 95% жирности",884 кКал,0 г,0 г,100 г
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, продукт промежуточной переработки",884 кКал,0 г,0 г,100 г
Персиковое масло,"899,1 кКал",0 г,0 г,"99,9 г"
Подсолнечное масло,899 кКал,0 г,0 г,"99,9 г"
Подсолнечное масло высокоолеиновое (70% и более),884 кКал,0 г,0 г,100 г
Подсолнечное масло линолевое (менее 60%),884 кКал,0 г,0 г,100 г
Подсолнечное масло линолевое (приблизительно 65%),884 кКал,0 г,0 г,100 г
Подсолнечное масло линолевое (частично гидрогенизированное),884 кКал,0 г,0 г,100 г
"Подсолнечное масло, среднеоленовое, для жарки и заправки салатов, для пищевой промышленности",884 кКал,0 г,0 г,100 г
Рапсовое масло,899 кКал,0 г,0 г,"99,85 г"
Рыбий жир из печени трески,902 кКал,0 г,0 г,100 г
Рыбий жир из печени трески,898 кКал,0 г,0 г,"99,8 г"
Рыбий жир лососевый,902 кКал,0 г,0 г,100 г
"Рыбий жир, менхаден",902 кКал,0 г,0 г,100 г
"Рыбий жир, менхаден, полностью гидрогенизированный",902 кКал,0 г,0 г,100 г
"Рыбий жир, сардинный",902 кКал,0 г,0 г,100 г
"Рыбий жир, сельдевый",902 кКал,0 г,0 г,100 г
"Сало (шпик свиной, без шкурки)",841 кКал,0 г,"1,4 г","92,8 г"
Сало баранье,902 кКал,0 г,0 г,100 г
"Сало соленое (шпик свиной, без шкурки)",816 кКал,0 г,"1,4 г",90 г
"Сафлоровое масло высокоолеиновое, более 70%",884 кКал,0 г,0 г,100 г
