Продукт,Калорийность,Углеводы,Белки,Жиры
"Лимская фасоль, крупная, зрелая, вареная, без соли",115 кКал,"13,88 г","7,8 г","0,38 г"
"Лимская фасоль, крупная, зрелая, вареная, с солью",115 кКал,"13,88 г","7,8 г","0,38 г"
"Лимская фасоль, крупная, зрелая, консервированная",79 кКал,"10,11 г","4,93 г","0,17 г"
"Лимская фасоль, мелкая, зрелая",335 кКал,"42,23 г","20,62 г","0,93 г"
"Лимская фасоль, мелкая, зрелая, вареная, без соли",126 кКал,"15,61 г","8,04 г","0,38 г"
"Лимская фасоль, мелкая, зрелая, вареная, с солью",126 кКал,"15,61 г","8,04 г","0,38 г"
"Лимская фасоль, мелкая, незрелая, замороженная",132 кКал,"19,14 г","7,59 г","0,44 г"
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, без соли",105 кКал,"14,65 г","6,65 г","0,3 г"
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, с солью",105 кКал,"14,65 г","6,65 г","0,3 г"
"Лимская фасоль, незрелая",113 кКал,"15,27 г","6,84 г","0,86 г"
"Лимская фасоль, незрелая, вареная, без соли",123 кКал,"18,24 г","6,81 г","0,32 г"
"Лимская фасоль, незрелая, вареная, с солью",123 кКал,"18,34 г","6,81 г","0,32 г"
"Лимская фасоль, незрелая, консервированная",71 кКал,"9,73 г","4,07 г","0,29 г"
"Лимская фасоль, незрелая, консервированная, без соли",71 кКал,"9,73 г","4,07 г","0,29 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые",344 кКал,"35,14 г","23,9 г","1,69 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, без соли",117 кКал,"20,69 г","8,14 г","0,58 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, с солью",117 кКал,"20,7 г","8,14 г","0,58 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые",46 кКал,"5,89 г","2,1 г","0,2 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, без соли",50 кКал,"9,2 г","2,95 г","0,27 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, с солью",50 кКал,"9,2 г","2,95 г","0,27 г"
"Люпин (волчий боб), зрелые семена",371 кКал,"21,47 г","36,17 г","9,74 г"
"Люпин (волчий боб), зрелые семена, вареные, без соли",119 кКал,"7,08 г","15,57 г","2,92 г"
"Люпин (волчий боб), зрелые семена, вареные, с солью",116 кКал,"6,49 г","15,57 г","2,92 г"
Маш (бобы мунг),300 кКал,46 г,"23,5 г",2 г
Маш (бобы мунг),347 кКал,"46,32 г","23,86 г","1,15 г"
"Маш (бобы мунг) проросшие семена, вареные, с солью",19 кКал,"2,8 г","2,03 г","0,09 г"
"Маш (бобы мунг) проросшие семена, консервированные, сухой продукт без маринада",12 кКал,"1,34 г","1,4 г","0,06 г"
"Маш (бобы мунг), вареные, с доб. соли",105 кКал,"11,55 г","7,02 г","0,38 г"
"Маш (бобы мунг), проросшие, вареные, без соли",21 кКал,"3,39 г","2,03 г","0,09 г"
"Маш (бобы мунг), проросшие, жареные",50 кКал,"8,69 г","4,3 г","0,21 г"
"Маш (бобы мунг), проросшие, сырые",30 кКал,"4,14 г","3,04 г","0,18 г"
"Маш красный (фасоль адзуки), зрелые семена",329 кКал,"50,2 г","19,87 г","0,53 г"
"Маш красный (фасоль адзуки), зрелые семена, вареный, без соли",128 кКал,"17,47 г","7,52 г","0,1 г"
"Маш красный (фасоль адзуки), зрелые семена, вареный, с солью",128 кКал,"17,47 г","7,52 г","0,1 г"
"Маш красный (фасоль адзуки), зрелые семена, консервированный, подслащенный",237 кКал,"55,01 г","3,8 г","0,03 г"
"Маш чёрный (урд, или маи)",341 кКал,"40,69 г","25,21 г","1,64 г"
"Маш чёрный (урд, или маи), вареный, без соли",105 кКал,"11,94 г","7,54 г","0,55 г"
Мисо,198 кКал,"19,97 г","12,79 г","6,01 г"
Натто (сброженные соевые бобы),211 кКал,"7,28 г","19,4 г",11 г
Нут (турецкий горох),378 кКал,"50,75 г","20,47 г","6,04 г"
Нут (турецкий горох),309 кКал,"46,16 г","20,1 г","4,32 г"
"Нут (турецкий горох), вареный, без соли",164 кКал,"19,82 г","8,86 г","2,59 г"
"Нут (турецкий горох), вареный, с солью",164 кКал,"19,82 г","8,86 г","2,59 г"
"Нут (турецкий горох), консервированный",88 кКал,"9,09 г","4,92 г","1,95 г"
"Нут (турецкий горох), консервированный, промытый водой",138 кКал,"16,57 г","7,04 г","2,47 г"
"Нут (турецкий горох), консервированный, с пониженным содержанием натрия",88 кКал,"9,09 г","4,92 г","1,95 г"
"Нут (турецкий горох), консервированный, содержимое без жидкости",139 кКал,"16,13 г","7,05 г","2,77 г"
Нутовая мука,387 кКал,"47,02 г","22,39 г","6,69 г"
"Пападам, тонкая лепёшка из чечевичной муки",371 кКал,"41,27 г","25,56 г","3,25 г"
"Пюре из бобов, мексиканская кухня, консервированное",90 кКал,"9,85 г","4,98 г","2,01 г"
"Пюре из бобов, мексиканская кухня, консервированное, вегетарианское",83 кКал,"8,8 г","5,28 г","0,87 г"
"Пюре из бобов, мексиканская кухня, консервированное, обезжиренное",79 кКал,"8,8 г","5,34 г","0,45 г"
"Сарделька (сосиска), из бобового заменителя мяса",233 кКал,"3,8 г","19,61 г","13,73 г"
"Смесь бобовых (кукуруза, лимская фасоль, горох, зеленые бобы, морковь), консервированная, без добавления соли",37 кКал,"4,21 г","1,4 г","0,2 г"
Соевая вермишель,331 кКал,"78,42 г","0,1 г","0,1 г"
Соевая мука необезжиренная,385 кКал,"17,9 г","36,5 г","18,6 г"
Соевая мука обезжиренная,291 кКал,"21,7 г","48,9 г",1 г
Соевая мука полуобезжиренная,334 кКал,"19,1 г",43 г,"9,5 г"
"Соевая мука, необезжиренная, поджаренная",439 кКал,"20,68 г","38,09 г","21,86 г"
"Соевая мука, необезжиренная, сырая",434 кКал,"22,32 г","37,81 г","20,65 г"
"Соевая мука, низкожирная",372 кКал,"14,63 г","49,81 г","8,9 г"
"Соевая мука, обезжиренная",327 кКал,"16,42 г","51,46 г","1,22 г"
"Соевое молоко, маложирное, с доб. кальция, витаминов A и D",43 кКал,"6,4 г","1,65 г","0,62 г"
"Соевое молоко, натуральное и ванильное, легкое, неподслащенное, с доб. кальция, витаминов A и D",34 кКал,"3,25 г","2,62 г","0,85 г"
"Соевое молоко, натуральное и ванильное, легкое, с доб. кальция, витаминов A и D",30 кКал,"3,21 г","2,38 г","0,77 г"
"Соевое молоко, натуральное и ванильное, необогащенное",54 кКал,"5,68 г","3,27 г","1,75 г"
"Соевое молоко, натуральное и ванильное, с доб. кальция, витаминов A и D",43 кКал,"4,72 г","2,6 г","1,47 г"
"Соевое молоко, неподслащенное, с доб. кальция, витаминов A и D",33 кКал,"1,24 г","2,86 г","1,61 г"
"Соевое молоко, обезжиренное, с доб. кальция, витаминов A и D",28 кКал,"3,94 г","2,47 г","0,04 г"
