Продукт,Калорийность,Углеводы,Белки,Жиры
"Мороженое, ванильное, лайт, без доб. сахара, 7.45% жира",169 кКал,"21,42 г","3,97 г","7,45 г"
"Мороженое, ванильное, лайт, магкое морожено, 2.6 жир",126 кКал,"21,8 г","4,9 г","2,6 г"
"Мороженое, ванильное, легкое",180 кКал,"29,16 г","4,78 г","4,83 г"
"Мороженое, ванильное, обезжиренное, 0% жира",138 кКал,"29,06 г","4,48 г",0 г
"Мороженое, клубничное, 8.4% жира",192 кКал,"26,7 г","3,2 г","8,4 г"
"Мороженое, обычное, низкоуглеводное, ванильное, 12.7% жира",216 кКал,"17,43 г","3,17 г","12,7 г"
"Мороженое, обычное, низкоуглеводное, шоколадное, 12.7% жира",237 кКал,22 г,"3,8 г","12,7 г"
"Мороженое, французское, ванильное, мягкое, 13% жира",222 кКал,"21,5 г","4,1 г",13 г
"Мороженое, шоколадное, 11% жира",216 кКал,27 г,"3,8 г",11 г
"Мороженое, шоколадное, жирное, 17% жира",251 кКал,"18,88 г","4,72 г","16,98 г"
"Мороженое, шоколадное, лайт, 7.19 жир",187 кКал,"24,9 г",5 г,"7,19 г"
"Мороженое, шоколадное, лайт, без доб. сахара, 5.74% жира",173 кКал,"25,89 г","3,54 г","5,74 г"
Пастила,324 кКал,80 г,"0,5 г",0 г
"Пастила, глазированная шоколадом",402 кКал,"70,9 г","1,9 г",12 г
Патока кукурузная,316 кКал,"78,3 г",0 г,"0,3 г"
"Пектин (*в т. ч. РПВ-69,9)",52 кКал,"9,3 г","3,5 г",0 г
"Пектин, жидкий",11 кКал,0 г,0 г,0 г
"Печенье овсяное, промышленного изготовления, обычное",450 кКал,"65,9 г","6,2 г","18,1 г"
Печенье сахарное из муки первого сорта,407 кКал,"73,1 г","7,4 г","9,4 г"
Печенье сдобное,451 кКал,"68,5 г","6,4 г","16,8 г"
"Печенье сливочное, промышленного изготовления, необогащенное",467 кКал,"68,1 г","6,1 г","18,8 г"
"Печенье сливочное, промышленного изготовления, обогащенное",467 кКал,"68,1 г","6,1 г","18,8 г"
"Печенье, ванильные вафли, с повышенным содерж. жира, 19,4%",455 кКал,71 г,"4,9 г","16,41 г"
"Печенье, ванильные вафли, с пониженным содерж. жира, 15.2%",441 кКал,"71,7 г",5 г,"15,2 г"
"Печенье, ванильный сэндвич с кремовой начинкой",483 кКал,"70,6 г","4,5 г",20 г
"Печенье, затяжное из муки высшего сорта",414 кКал,"69,7 г","8,5 г","11,3 г"
"Печенье, затяжное из муки первого сорта",396 кКал,"70,9 г","7,7 г","9,1 г"
"Печенье, овсяное, охлажденное тесто",424 кКал,"56,6 г","5,4 г","18,9 г"
"Печенье, овсяное, охлажденное тесто, испеченное",471 кКал,"62,9 г",6 г,21 г
"Печенье, овсяное, с изюмом",441 кКал,"65,65 г","5,86 г","15,76 г"
"Печенье, овсяное, сухая смесь",462 кКал,"67,3 г","6,5 г","19,2 г"
"Печенье, с пониженным содержанием сахара",493 кКал,"61,2 г","8,3 г","23,6 г"
"Печенье, сахарное из муки высшего сорта",417 кКал,"74,4 г","7,5 г","9,8 г"
"Печенье, сахарное, охлажденное тесто, испеченное",489 кКал,"64,7 г","4,7 г","23,1 г"
"Печенье, сахарные вафли с кремовой начинкой, обычные",502 кКал,"69,04 г","3,84 г","23,24 г"
"Печенье, сдобное миндальное",422 кКал,"67,4 г","7,6 г","13,6 г"
