Продукт,Калорийность,Углеводы,Белки,Жиры
Колбаса сырокопченая олимпийская,436 кКал,"0,4 г","21,1 г","39,1 г"
Колбаса сырокопченая свиная,566 кКал,"0,2 г",13 г,57 г
"Колбаса сырокопченая, брауншвейгская",491 кКал,"0,2 г","27,7 г","42,2 г"
"Колбаса сырокопченая, любительская",514 кКал,0 г,"20,9 г","47,8 г"
"Колбаса сырокопченая, московская",473 кКал,0 г,"24,8 г","41,5 г"
"Колбаса сырокопченая, столичная",487 кКал,0 г,24 г,"43,4 г"
"Колбаса, Берлинская, свинина, говядина",230 кКал,"2,59 г","15,27 г","17,2 г"
"Колбаса, Болонская, говядина, с пониж. содер. натрия",310 кКал,2 г,"11,7 г","28,4 г"
"Колбаса, Брауншвейгская, свинина",327 кКал,"3,1 г","14,5 г","28,5 г"
"Колбаса, из свинины и говядины, с сыром чеддер, копченая",296 кКал,"2,13 г","12,89 г","25,84 г"
"Колбаса, итальянская, свинина, вареная",324 кКал,"1,86 г","18,4 г","26,4 г"
"Колбаса, Итальянская, свинина, сырая",290 кКал,"2,97 г","13,9 г","24,26 г"
"Колбаса, итальянская, сладкая, сосиски или сардельки",149 кКал,"2,1 г","16,13 г","8,42 г"
"Колбаса, Кровяная",379 кКал,"1,29 г","14,6 г","34,5 г"
"Колбаса, Ливерная, свинина",326 кКал,"2,2 г","14,1 г","28,5 г"
"Колбаса, польская, говядина с курицей, острая",259 кКал,"3,6 г","17,6 г","19,4 г"
"Колбаса, польская, из индейки и говядины, копченая",226 кКал,"3,9 г","13,1 г","17,6 г"
"Колбаса, польская, из свинины",326 кКал,"1,63 г","14,1 г","28,72 г"
"Колбаса, польская, из свинины и говядины, копченая",301 кКал,"1,98 г","12,07 г","26,56 г"
"Колбаса, свинина, вареная",339 кКал,0 г,"19,43 г","28,36 г"
"Колбаса, свинина, говядина, вареная",396 кКал,"2,7 г","13,8 г","36,25 г"
"Колбаса, свинина, сырая",288 кКал,"0,93 г","15,39 г","24,8 г"
"Колбасы, копченые сардельки, из свинины и говядины",320 кКал,"2,42 г",12 г,"28,73 г"
"Копченые сардельки, из свинины",309 кКал,"0,94 г","11,98 г","28,23 г"
"Копченые сардельки, из свинины и говядины, …",268 кКал,"3,96 г","13,97 г","21,43 г"
"Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока",313 кКал,"1,92 г","13,28 г","27,61 г"
Корейка копчено-запеченная (свинина),475 кКал,0 г,"10,2 г","48,2 г"
Корейка сырокопченая (свинина),469 кКал,0 г,"10,5 г","47,4 г"
"Куриные грудки, запеченные в духовке, обезжиренные, нарезка",79 кКал,"2,17 г","16,79 г","0,39 г"
"курица, Паштет, из печени, консерв.",201 кКал,"6,55 г","13,45 г","13,1 г"
"Ливанская болонья, говядина",172 кКал,"0,44 г","19,03 г","10,44 г"
Мясной хлеб ветчинный,256 кКал,"1,9 г","12,9 г","21,8 г"
Мясной хлеб говяжий,263 кКал,"1,4 г","10,5 г","23,9 г"
Мясной хлеб отдельный,246 кКал,"2,1 г",12 г,21 г
Окорок тамбовский вареный,288 кКал,0 г,"14,3 г","25,6 г"
Охотничьи колбаски,463 кКал,"0,3 г","25,3 г",40 г
Палочки из бекона и говядины,517 кКал,"0,8 г","29,1 г","44,2 г"
"Пастрома, из индейки",139 кКал,"3,24 г","16,3 г","6,21 г"
"Паштет, из ливерной колбасы",305 кКал,"3,39 г","12,38 г","25,45 г"
"Паштет, с ароматом трюфелей",327 кКал,"6,3 г","11,2 г","28,5 г"
"Пепперони (острое салями), свинина, говядина",504 кКал,"1,18 г","19,25 г","46,28 г"
"Рулет из индейки, белое и темное мясо",149 кКал,"2,12 г","18,14 г","6,99 г"
"Рулет из индейки, белое мясо",106 кКал,"2,2 г","14,81 г","3,77 г"
"Рулет из куриных грудок, запеченный в духовке",134 кКал,"1,79 г","14,59 г","7,65 г"
"Салями, воздушной варки, из говядины",261 кКал,"1,9 г","12,6 г","22,2 г"
"Салями, воздушной варки, из говядины и свинины",336 кКал,"2,4 г","21,85 г","25,9 г"
"Салями, воздушной варки, индюшатина",172 кКал,"1,45 г","19,2 г","9,21 г"
"Салями, из свинины, и говядины, меньше натрия",396 кКал,"15,18 г","15,01 г","30,5 г"
"Салями, итальянская, свинина",425 кКал,"1,2 г","21,7 г",37 г
"Салями, сухая или твердая, свинина",407 кКал,"1,6 г","22,58 г","33,72 г"
"Салями, сухая или твердая, свинина, говядина",378 кКал,"0,72 г","21,07 г","31,65 г"
"Сарделька (сосиска), говядина",315 кКал,"2,97 г","11,69 г","28,1 г"
"Сарделька (сосиска), говядина и свинина",305 кКал,"1,72 г","11,53 г","27,64 г"
"Сарделька (сосиска), говядина, свинина, индейка, обезжиринная, 1.6% жира",109 кКал,"11,21 г","12,5 г","1,59 г"
"Сарделька (сосиска), говяжья, разогретая",322 кКал,"2,66 г","11,69 г","29,36 г"
"Сарделька (сосиска), индейка",223 кКал,"3,81 г","12,23 г","17,29 г"
"Сарделька (сосиска), куриная",223 кКал,"2,74 г","15,51 г","16,19 г"
"Сарделька (сосиска), мясная",290 кКал,"4,17 г","10,26 г","25,76 г"
"Сарделька (сосиска), мясная и домашняя птица, маложирная, 2.8% жира",121 кКал,"8,3 г","15,5 г","2,8 г"
"Сарделька (сосиска), мясная, маложирная, 10% жира",140 кКал,"1,6 г",12 г,"9,5 г"
"Сарделька (сосиска), мясная, разогретая",278 кКал,"4,9 г","9,77 г","24,31 г"
"Сарделька (сосиска), с низким содерж. Натрия",312 кКал,"1,8 г",12 г,"28,51 г"
Сардельки 1 сорта,202 кКал,"1,5 г","10,3 г","17,2 г"
Сардельки говяжьи,215 кКал,"1,3 г","11,4 г","18,2 г"
"Сардельки говяжьи отварные, по 1-394",215 кКал,"1,2 г","11,4 г","18,2 г"
Сардельки свиные,322 кКал,"1,8 г","10,1 г","31,6 г"
"Свинина, Паштет, из ветчины",216 кКал,"10,64 г","8,68 г","15,53 г"
"Свинина, Паштет, ливерный",304 кКал,"2,1 г","15,2 г","25,6 г"
"Свинина, Паштет, с сыром и беконом",245 кКал,"2,28 г","16,18 г","18,53 г"
Сервелат,461 кКал,"0,2 г",24 г,"40,5 г"
Сосиски говяжьи,226 кКал,"0,8 г","10,4 г","20,1 г"
"Сосиски говяжьи отварные, по 1-394",225 кКал,"0,8 г","10,4 г",20 г
Сосиски столичные,234 кКал,"0,5 г","12,2 г","20,3 г"
"Сосиски, венские, консервированные, из курицы, говядины, и свинины",230 кКал,"2,6 г","10,5 г","19,4 г"
"Сосиски, молочные",261 кКал,"0,4 г",11 г,"23,9 г"
"Сосиски, русские",250 кКал,"1,7 г","11,3 г",22 г
"Сосиски, свиные",324 кКал,0 г,"11,8 г","30,8 г"
"Спред для сэндвичей, паштет, из свинины и говядины",235 кКал,"11,74 г","7,66 г","17,34 г"
"Спред-салат, для сэндвичей, домашняя птица",200 кКал,"7,41 г","11,64 г","13,52 г"
"Чоризо (чорисо), из свинины и говядины",296 кКал,"3,78 г","13,63 г","25,1 г"
