Продукт,Калорийность,Углеводы,Белки,Жиры
"Овсянка быстрорастворимая с корицей, сухая (произв: The Quaker Oats, Co.)",369 кКал,"66,32 г","10,39 г","5,1 г"
Овсяные отруби,246 кКал,"50,82 г","17,3 г","7,03 г"
"Овсяные отруби, приготовленные",40 кКал,"8,84 г","3,21 г","0,86 г"
"Овсяные хлопья ""геркулес""",352 кКал,"61,8 г","12,3 г","6,2 г"
"Паста (макароны, спагетти)  из кукурузной муки, безглютеновые, приготовленные",126 кКал,"23,11 г","2,63 г","0,73 г"
"Паста (макароны, спагетти) без яиц, домашняя, приготовленная",124 кКал,"25,12 г","4,37 г","0,98 г"
"Паста (макароны, спагетти) из коричневой рисовой муки, безглютеновая, приготовленная",138 кКал,"30,5 г","3,46 г","1,67 г"
"Паста (макароны, спагетти) из кукурузной и рисовой муки, безглютеновая, приготовленная",179 кКал,"36,65 г","3,2 г",1 г
"Паста (макароны, спагетти) из кукурузной муки и муки киноа, безглютеновая, приготовленная",152 кКал,"27,81 г","3,23 г","2,07 г"
"Паста (макароны, спагетти) из кукурузной муки, безглютеновые",357 кКал,"68,26 г","7,46 г","2,08 г"
"Паста (макароны, спагетти) из рисовой муки с экстрактом из рисовых отрубей, безглютеновая, приготовленная",200 кКал,"38,85 г","4,21 г","1,7 г"
"Паста (макароны, спагетти) из цельнозерновой муки, приготовленная",149 кКал,"26,17 г","5,99 г","1,71 г"
"Паста (макароны, спагетти) из цельнозерновой муки, сухая",352 кКал,"64,17 г","13,87 г","2,93 г"
"Паста (макароны, спагетти) яичная, домашняя, приготовленная",130 кКал,"23,54 г","5,28 г","1,74 г"
"Паста (макароны, спагетти), обогащенные, приготовленные без соли",158 кКал,"29,06 г","5,8 г","0,93 г"
"Паста (макароны, спагетти), обогащенные, приготовленные с солью",157 кКал,"28,79 г","5,8 г","0,93 г"
"Паста (макароны, спагетти), обогащенные, сухие",371 кКал,"71,47 г","13,04 г","1,51 г"
"Паста (макароны, спагетти), приготовленная без соли",158 кКал,"29,06 г","5,8 г","0,93 г"
"Паста (макароны, спагетти), приготовленная с солью",157 кКал,"28,79 г","5,8 г","0,93 г"
"Паста (макароны, спагетти), свежезамороженная, неприготовленная",288 кКал,"54,73 г","11,31 г","2,3 г"
"Паста (макароны, спагетти), свежезамороженная, приготовленная",131 кКал,"24,93 г","5,15 г","1,05 г"
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, неприготовленная",289 кКал,"55,72 г","11,26 г","2,1 г"
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, приготовленная",130 кКал,"25,04 г","5,06 г","0,94 г"
