Продукт,Калорийность,Углеводы,Белки,Жиры
"Клюквенный соус желеобразный, консервированный, OCEAN SPRAY",160 кКал,"39,61 г","1,05 г","0,04 г"
"Клюквенный соус с цельными ягодами, консервированный, OCEAN SPRAY",158 кКал,"39,2 г","0,75 г","0,05 г"
"Клюквенный соус, консервированный, подслащенный",159 кКал,"39,3 г","0,9 г","0,15 г"
Компот из земляники. Консервы,0 кКал,0 г,0 г,0 г
Компот из слив венгерка. Консервы,96 кКал,"23,9 г","0,5 г","0,1 г"
Компот из слив ренклод. Консервы,86 кКал,"21,9 г","0,3 г",0 г
Концентрат малинового сока,221 кКал,"52,09 г","3,04 г","1,34 г"
Кратева священная,69 кКал,"12,3 г","1,5 г","0,1 г"
Крыжовник,45 кКал,"9,1 г","0,7 г","0,2 г"
Крыжовник,44 кКал,"5,88 г","0,88 г","0,58 г"
"Крыжовник, консервированный в легком сахарном сиропе",73 кКал,"16,35 г","0,65 г","0,2 г"
Кумкват,71 кКал,"9,4 г","1,88 г","0,86 г"
Курага (абрикосы сушеные без косточки),232 кКал,51 г,"5,2 г","0,3 г"
Лайм,30 кКал,"7,74 г","0,7 г","0,2 г"
Лимон,34 кКал,3 г,"0,9 г","0,1 г"
"Лимон без цедры, сырые",29 кКал,"6,52 г","1,1 г","0,3 г"
"Лимонная цедра, сырая",47 кКал,"5,4 г","1,5 г","0,3 г"
"Лимонник китайский, ягоды высушенные с семенами",416 кКал,"13,3 г",0 г,"40,3 г"
"Лимонник китайский, ягоды свежие без семян",47 кКал,"2,2 г",0 г,0 г
Личи,66 кКал,"15,23 г","0,83 г","0,44 г"
"Личи, сушеные",277 кКал,"66,1 г","3,8 г","1,2 г"
"Логанова ягода, мороженная",55 кКал,"7,72 г","1,52 г","0,31 г"
Лонган,60 кКал,"14,04 г","1,31 г","0,1 г"
"Лонган, сушеный",286 кКал,74 г,"4,9 г","0,4 г"
Малайское яблоко (Ямбоза),25 кКал,"5,7 г","0,6 г","0,3 г"
Малина,52 кКал,"5,44 г","1,2 г","0,65 г"
Малина,46 кКал,"8,3 г","0,8 г","0,5 г"
Малина дикая (индейцы северных великих равнин),62 кКал,"6,35 г","1,12 г","0,28 г"
"Малина красная, замороженная",56 кКал,"8,25 г","1,15 г","0,81 г"
"Малина красная, замороженная, подслащенная",103 кКал,"21,76 г","0,7 г","0,16 г"
"Малина красная, консервированная в насыщенном сахарном сиропе",91 кКал,"20,06 г","0,83 г","0,12 г"
"Малиновое пюре без семян, без сахара",41 кКал,"7,09 г","1,02 г","0,87 г"
"Малиновое пюре с семенами, без сахара",55 кКал,"7,21 г","1,1 г","0,97 г"
"Мамея (маммея), антильский абрикос, сырой",51 кКал,"9,5 г","0,5 г","0,5 г"
Манго,60 кКал,"13,38 г","0,82 г","0,38 г"
Манго сушеное подслащенное,319 кКал,"76,18 г","2,45 г","1,18 г"
"Мангостан (мангустин), консервированный в сиропе",73 кКал,"16,11 г","0,41 г","0,58 г"
Мандарин,53 кКал,"11,54 г","0,81 г","0,31 г"
Мандарин,38 кКал,"7,5 г","0,8 г","0,2 г"
"Мандарин, консервированный в легком сахарном сиропе",61 кКал,"15,49 г","0,45 г","0,1 г"
"Мандарин, консервированный в собственном соку",37 кКал,"8,87 г","0,62 г","0,03 г"
"Мандарин, консервированный в собственном соку, сухой продукт",38 кКал,"8,21 г","0,75 г","0,04 г"
Мандариновый джем,276 кКал,"71,8 г","0,3 г",0 г
Маракуйя (пурпурная гранадилла),97 кКал,"12,98 г","2,2 г","0,7 г"
"Можжевельник, шишкоягоды",130 кКал,"28,7 г",0 г,0 г
Морошка,40 кКал,"7,4 г","0,8 г","0,9 г"
Морошка (Аляска),51 кКал,"8,6 г","2,4 г","0,8 г"
Мушмула,47 кКал,"10,44 г","0,43 г","0,2 г"
"Нансе фрукт (бирсонима толстолистная), замороженный",73 кКал,"9,47 г","0,66 г","1,16 г"
"Нансе фрукт (бирсонима толстолистная), консервированный в сиропе",95 кКал,"15,79 г","0,56 г","1,28 г"
"Наранхилла, замороженная",25 кКал,"4,8 г","0,44 г","0,22 г"
Нектарин,44 кКал,"8,85 г","1,06 г","0,32 г"
Облепиха,82 кКал,"5,7 г","1,2 г","5,4 г"
Опунция (колючая груша),41 кКал,"5,97 г","0,73 г","0,51 г"
Папайя,43 кКал,"9,12 г","0,47 г","0,26 г"
"Папайя, консервированная в насыщенном сиропе",206 кКал,"54,33 г","0,14 г","0,55 г"
Пектин жидкий,11 кКал,0 г,0 г,0 г
Персик,45 кКал,"9,5 г","0,9 г","0,1 г"
Персик,39 кКал,"8,04 г","0,91 г","0,25 г"
Персик сушеный,254 кКал,"57,7 г",3 г,"0,4 г"
"Персики ломтиками, замороженные, подслащенные",94 кКал,"22,18 г","0,63 г","0,13 г"
Персики сушеные,239 кКал,"53,13 г","3,61 г","0,76 г"
Персики сушеные (дегидрированные),325 кКал,"83,18 г","4,89 г","1,03 г"
"Персики сушеные (дегидрированные), тушеные",133 кКал,"34,14 г","2,01 г","0,42 г"
"Персики сушеные, тушеные без сахара",77 кКал,"16,99 г","1,16 г","0,25 г"
"Персики сушеные, тушеные с сахаром",103 кКал,"24,2 г","1,06 г","0,22 г"
"Персики, консервированные в водной заливке",24 кКал,"4,81 г","0,44 г","0,06 г"
"Персики, консервированные в легком сиропе",54 кКал,"13,25 г","0,45 г","0,03 г"
"Персики, консервированные в насыщенном сиропе",74 кКал,"18,64 г","0,45 г","0,1 г"
"Персики, консервированные в насыщенном сиропе, приправленные",75 кКал,"18,78 г","0,41 г","0,1 г"
"Персики, консервированные в насыщенном сиропе, сухой продукт",72 кКал,"17,23 г","0,52 г","0,18 г"
"Персики, консервированные в собственном соку",44 кКал,"10,27 г","0,63 г","0,03 г"
"Персики, консервированные в экстра-легком сиропе",42 кКал,"10,1 г","0,4 г","0,1 г"
"Персики, консервированные в экстра-насыщенном сиропе",96 кКал,"25,06 г","0,47 г","0,03 г"
Персиковый компот. Консервы,88 кКал,"21,6 г","0,3 г","0,1 г"
"Питанга (суринамская вишня), сырая",33 кКал,"7,49 г","0,8 г","0,4 г"
"Плантан (овощной банан) жёлтый, жареный, латинский ресторан",236 кКал,"37,57 г","1,42 г","7,51 г"
"Плантан (овощной банан) жёлтый, приготовленный",155 кКал,"39,17 г","1,52 г","0,16 г"
"Плантан (овощной банан) жёлтый, сырой",122 кКал,"30,19 г","1,3 г","0,35 г"
Плантан (овощной банан) зелёный жареный,309 кКал,"45,67 г","1,5 г","11,81 г"
"Плантан (овощной банан) зелёный, вареный",121 кКал,"26,55 г","1,09 г","0,08 г"
"Плантан (овощной банан) зелёный, сырой",152 кКал,"34,46 г","1,25 г","0,07 г"
"Плоды хлебного дерева, сырые",103 кКал,"22,22 г","1,07 г","0,23 г"
Помело,38 кКал,"8,62 г","0,76 г","0,04 г"
Порошок из плодов баобаба,250 кКал,"35,15 г","3,69 г","0,47 г"
"Рамбутан, консервированный в сахарном сиропе",82 кКал,"19,97 г","0,65 г","0,21 г"
Ревень,21 кКал,"2,74 г","0,9 г","0,2 г"
"Ревень, замороженный, неприготовленный",21 кКал,"3,3 г","0,55 г","0,11 г"
"Ревень, замороженный, приготовленный с сахаром",116 кКал,"29,2 г","0,39 г","0,05 г"
"Розелла, сырая",49 кКал,"11,31 г","0,96 г","0,64 г"
Рябина садовая красная,50 кКал,"8,9 г","1,4 г","0,2 г"
Рябина черноплодная,55 кКал,"10,9 г","1,5 г","0,2 г"
"Саподилла, сырая",83 кКал,"14,66 г","0,44 г","1,1 г"
"Сапота (мармеладный плод), сырая",124 кКал,"26,7 г","1,45 г","0,46 г"
Саусеп (сметанное яблоко) сырой,66 кКал,"13,54 г",1 г,"0,3 г"
"Сахарные яблоки (анона), сырые",94 кКал,"19,24 г","2,06 г","0,29 г"
Слива,46 кКал,"10,02 г","0,7 г","0,28 г"
Слива (садовая),49 кКал,"9,6 г","0,8 г","0,3 г"
"Слива вишненосная, алыча",34 кКал,"7,9 г","0,2 г","0,1 г"
"Слива дикая, северо-американская",91 кКал,"15,95 г","0,43 г","0,17 г"
Слива Мирабель (желтая слива),40 кКал,"7,5 г",1 г,0 г
"Слива синяя, консервированная в водной заливке",41 кКал,"10,13 г","0,39 г","0,01 г"
"Слива синяя, консервированная в легком сахарном сиропе",63 кКал,"15,38 г","0,37 г","0,1 г"
"Слива синяя, консервированная в насыщенном сахарном сиропе",89 кКал,"22,34 г","0,36 г","0,1 г"
"Слива синяя, консервированная в собственном соку",58 кКал,"14,25 г","0,51 г","0,02 г"
"Слива синяя, консервированная в экстра-насыщенном сахарном сиропе",101 кКал,"25,31 г","0,36 г","0,1 г"
"Сливы, консервированные в насыщенном сиропе, сухой продукт",89 кКал,"21,62 г","0,44 г","0,14 г"
