Продукт,Калорийность,Углеводы,Белки,Жиры
Баскет 16 Крыльев [Ростик'c - KFC],1432 кКал,"88,9 г","88,8 г","79,9 г"
Баскет 25 Крыльев [Ростик'c - KFC],2029 кКал,"93,5 г","118,5 г","131,2 г"
Баскет L [Ростик'c - KFC],2280 кКал,"73,5 г",147 г,156 г
Баскет S [Ростик'c - KFC],1064 кКал,"34,3 г","68,6 г","72,8 г"
Баскет Дуэт [Ростик'c - KFC],1625 кКал,"78,9 г","111,8 г","95,6 г"
Баскет Дуэт Оригинальный [Ростик'c - KFC],1310 кКал,89 г,70 г,75 г
Баскет Дуэт с Оригинальными Стрипсами [Ростик'c - KFC],309 кКал,"16,6 г","21,2 г","17,6 г"
Баскет Дуэт с Острыми Стрипсами [Ростик'c - KFC],1170 кКал,"75,1 г","76,3 г","62,6 г"
Баскет От Шефа [Ростик'c - KFC],681 кКал,"34,4 г","49,4 г","38,4 г"
Баскет Фри [Ростик'c - KFC],552 кКал,"60,2 г","7,6 г",31 г
Бельгийская Вафля [Ростик'c - KFC],402 кКал,"49,1 г","4,1 г","21,2 г"
БИГГЕР оригинальный (порция 258 гр) [Ростик'c - KFC],"619,2 кКал","58,3 г",33 г,"28,4 г"
Биггер Оригинальный [Ростик'c - KFC],622 кКал,"58,5 г","32,9 г","28,2 г"
БИГГЕР острый (порция 258 гр) [Ростик'c - KFC],"580,5 кКал","59,9 г","31,2 г","24,3 г"
Биггер Острый [Ростик'c - KFC],583 кКал,"60,1 г","31,1 г","24,1 г"
Блинчики [Ростик'c - KFC],205 кКал,"32,9 г",8 г,"4,7 г"
Боксмастер без Соуса [Ростик'c - KFC],285 кКал,"50,7 г","20,6 г",10 г
БОКСМАСТЕР ИЗ ТОСТЕРА оригинальный (порция 253 гр) [Ростик'c - KFC],"690,7 кКал","57,4 г","21,5 г","41,7 г"
Боксмастер из Тостера Оригинальный [Ростик'c - KFC],250 кКал,"22,9 г","10,8 г","12,8 г"
БОКСМАСТЕР ИЗ ТОСТЕРА острый (порция 253 гр) [Ростик'c - KFC],"708,4 кКал","53,9 г","22,8 г","44,5 г"
Боксмастер из Тостера Острый [Ростик'c - KFC],653 кКал,"46,9 г","21,8 г","42,2 г"
Боксмастер Оригинальный [Ростик'c - KFC],629 кКал,"43,9 г",27 г,"38,4 г"
Боксмастер Оригинальный [Ростик'c - KFC],620 кКал,"20,8 г","9,3 г","12,5 г"
Боксмастер Оригинальный [Ростик'c - KFC],250 кКал,"22,9 г","10,8 г","12,8 г"
Боксмастер Острый [Ростик'c - KFC],255 кКал,"22,9 г","10,7 г","13,4 г"
Боксмастер Терияки [Ростик'c - KFC],250 кКал,"22,9 г","10,8 г","12,8 г"
Боксмастер Утренний [Ростик'c - KFC],224 кКал,"19,8 г","11,4 г","11,1 г"
Боксмастер Чизз-Бекон [Ростик'c - KFC],633 кКал,"43,4 г","24,3 г","40,3 г"
Брейкер [Ростик'c - KFC],322 кКал,"30,5 г","15,6 г","15,4 г"
Бургер Русс [Ростик'c - KFC],319 кКал,"29,6 г",19 г,"13,9 г"
Бустер [Ростик'c - KFC],219 кКал,"19,5 г","12,6 г","10,1 г"
Ванильный Дюшес [Ростик'c - KFC],182 кКал,"45,5 г",0 г,0 г
Восточная Пита [Ростик'c - KFC],243 кКал,"21,4 г",11 г,"12,7 г"
Грибной Твистер [Ростик'c - KFC],233 кКал,"21,9 г",12 г,"10,8 г"
Дабл Чикен [Ростик'c - KFC],324 кКал,"21,3 г","26,8 г","14,5 г"
Дабл Чикен Кентукки BBQ [Ростик'c - KFC],222 кКал,"13,2 г","18,9 г","10,4 г"
Дабл Шефбургер [Ростик'c - KFC],569 кКал,"48,7 г","37,6 г","24,9 г"
Двойной Тёмный Бургер [Ростик'c - KFC],1033 кКал,"77,6 г","57,9 г","54,5 г"
Двойной Эспрессо [Ростик'c - KFC],23 кКал,"4,2 г","0,2 г","0,6 г"
Донат Карамельный [Ростик'c - KFC],440 кКал,62 г,7 г,19 г
Донат Карамельный [Ростик'c - KFC],295 кКал,"41,5 г","4,7 г","12,7 г"
Донат Клубничный [Ростик'c - KFC],417 кКал,47 г,"4,8 г",24 г
Донат Яблоко-Корица [Ростик'c - KFC],378 кКал,48 г,"4,7 г",18 г
Зингер [Ростик'c - KFC],363 кКал,"34,9 г","18,2 г","16,8 г"
"ЗОЛОТОЙ ФАЗАН 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,"14,1 г",0 г,0 г
Итальянский Салат Ролл [Ростик'c - KFC],431 кКал,"45,4 г",19 г,19 г
Капучино [Ростик'c - KFC],46 кКал,"7,1 г","1,9 г","1,1 г"
"Капучино 0,2 [Ростик'c - KFC]",55 кКал,"9,3 г","1,9 г","1,2 г"
